"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.47uF","",""
"2","C2, C9, C12, C25, C35","5","1uF","",""
"3","C3","1","0.33uF","",""
"4","C4","1","2.2uF","",""
"5","C5, C7, C13, C17, C38, C41, C42, C44, C57, C58, C59, C61, C62, C63, C64, C66","16","10uF","",""
"6","C6, C8, C10, C11, C14, C15, C18, C65, C67","9","100nF","",""
"7","C16","1","47uF","",""
"8","C19, C20","2","20p","",""
"9","C21, C22, C23, C24, C27, C28, C32, C34","8","100n","",""
"10","C26","1","1u","",""
"11","C29, C30, C68","3","2u2","",""
"12","C31, C39, C43, C48, C49, C50, C56, C60","8","10nF","",""
"13","C33, C36, C40, C45, C46, C51, C53, C54","8","470pF","",""
"14","C37, C47, C52, C55","4","2700pF","",""
"15","D1","1","D_Schottky","",""
"16","D2","1","LED","",""
"17","IC1","1","TLV76150DCYR","SOT230P700X180-4N",""
"18","IC2","1","LM3940IMP-3.3_NOPB","SOT230P700X180-4N",""
"19","IC4","1","STM32H750VBT6","QFP50P1600X1600X160-100N",""
"20","IC5","1","W25Q512JVEIM","SON127P800X600X80-9N-D",""
"21","J1","1","Jack-DC","",""
"22","J2","1","Conn_JTAG_SWD_10","",""
"23","J3, J4, J8, J10","4","AudioJack2_Dual_Switch","",""
"24","J5, J7, J9, J11","4","XLR3_Ground","",""
"25","J6","1","USB_C_Receptacle","",""
"26","R1, R2, R3, R5, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R31, R32, R33, R41, R42, R43, R45","21","10k","",""
"27","R4","1","1k","",""
"28","R6, R8, R20, R22","4","634","",""
"29","R7, R9, R21, R23","4","91","",""
"30","R24, R34","2","47k","",""
"31","R25, R26, R35, R36","4","1k2","",""
"32","R27, R28, R29, R30, R37, R38, R39, R40","8","2k2","",""
"33","R44","1","4k7","",""
"34","R46, R47","2","5k1","",""
"35","U1","1","CS4272","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm",""
"36","U2, U3, U4, U5","4","MCP6004","",""
"37","Y1","1","Crystal","",""
