Designator,Mid X,Mid Y,Rotation,Layer
C1,203.75,-52.5,270.0,top
C10,215.5,-75.0,0.0,top
C11,200.233623,-61.983623,315.0,top
C12,201.471059,-60.392634,315.0,top
C13,192.5,-68.5,90.0,top
C14,192.5,-75.25,90.0,top
C15,190.499999,-75.25,270.0,top
C16,126.05,-92.1125,90.0,top
C17,128.05,-92.1125,90.0,top
C18,129.55,-92.112501,90.0,top
C19,140.464213,-83.335787,135.0,top
C2,216.0,-57.5,180.0,top
C20,139.049999,-84.75,135.0,top
C21,137.98934,-85.81066,135.0,top
C22,131.05,-95.612501,270.0,top
C23,129.050001,-95.7875,270.0,top
C24,139.5,-95.0,225.0,top
C25,138.050001,-93.75,225.0,top
C26,144.05,-87.25,90.0,top
C27,142.05,-87.25,90.0,top
C28,169.0,-113.0,0.0,top
C29,87.0,-106.3625,90.0,top
C3,216.25,-59.75,180.0,top
C30,85.0,-106.5375,90.0,top
C31,159.0,-113.0,0.0,top
C32,149.0,-113.05,0.0,top
C33,176.8875,-73.75,0.0,top
C34,139.0,-113.05,0.0,top
C35,218.0,-85.0,0.0,top
C36,221.0,-105.0,180.0,top
C37,215.5,-105.0,0.0,top
C38,109.25,-102.9,270.0,top
C39,197.5,-90.0,270.0,top
C4,226.5,-71.7875,270.0,top
C40,111.75,-101.4,180.0,top
C41,195.8625,-106.0,180.0,top
C42,193.0,-107.0,270.0,top
C43,102.75,-100.4,90.0,top
C44,189.3625,-86.5,0.0,top
C45,118.75,-98.0,270.0,top
C46,186.5875,-83.0,0.0,top
C47,114.5,-96.25,270.0,top
C48,116.0,-96.25,270.0,top
C49,183.0,-86.5,0.0,top
C5,224.5,-71.7875,270.0,top
C50,183.0,-85.0,0.0,top
C51,103.75,-91.4,0.0,top
C52,105.75,-89.0,90.0,top
C53,178.5,-104.5,90.0,top
C54,176.980975,-102.0,180.0,top
C55,178.5,-89.5,270.0,top
C56,161.000001,-93.75,270.0,top
C57,105.0,-71.0,270.0,top
C58,99.5,-71.0,90.0,top
C59,80.5,-68.0,90.0,top
C6,222.5,-71.7875,270.0,top
C60,94.4125,-71.0,0.0,top
C61,105.0,-76.0,90.0,top
C62,99.5,-76.0,270.0,top
C63,115.0,-76.0,90.0,top
C64,110.5,-79.0,0.0,top
C65,110.5,-77.25,0.0,top
C66,120.5,-76.0,270.0,top
C67,106.0,-65.0,90.0,top
C68,125.862501,-70.5,180.0,top
C69,115.0,-71.0,270.0,top
C7,220.5,-71.7875,270.0,top
C70,120.5,-71.0,90.0,top
C71,157.0,-71.5,270.0,top
C72,158.0,-61.0,0.0,top
C73,151.5,-79.0,180.0,top
C74,151.5,-77.25,180.0,top
C75,162.0,-73.5,270.0,top
C76,157.0,-75.5,90.0,top
C77,154.0,-62.5,0.0,top
C78,158.0,-64.0,0.0,top
C79,147.0,-75.5,90.0,top
C8,205.0,-67.0,90.0,top
C80,141.0,-62.5,180.0,top
C81,142.0,-73.5,90.0,top
C82,147.0,-71.5,270.0,top
C83,149.25,-62.5,180.0,top
C84,141.0,-60.0,180.0,top
C9,215.5,-73.0,180.0,top
D1,223.0,-67.0,180.0,top
D10,228.75,-83.98,90.0,top
D11,230.0,-93.5,90.0,top
D12,228.75,-93.98,90.0,top
D13,230.0,-103.5,90.0,top
D14,228.75,-103.98,90.0,top
D15,230.0,-113.5,90.0,top
D16,228.75,-113.98,90.0,top
D17,134.0,-102.0,225.0,top
D18,132.5,-100.5,225.0,top
D2,228.75,-67.0,0.0,top
D3,235.5,-73.52,90.0,top
D4,234.25,-74.0,90.0,top
D5,196.0,-113.75,180.0,top
D6,196.48,-115.0,180.0,top
D7,99.75,-84.185,270.0,top
D8,101.0,-83.704999,270.0,top
D9,230.0,-83.5,90.0,top
IC1,202.15,-56.5,270.0,top
IC2,134.5,-90.0,180.0,top
IC3,188.0,-96.5,270.0,top
IC4,107.75,-96.45,180.0,top
IC5,165.5,-96.75,90.0,top
J1,196.5,-61.245,0.0,bottom
J10,178.250001,-67.75,0.0,bottom
J11,141.5,-115.0,0.0,bottom
J12,117.0,-114.0,0.0,bottom
J13,203.75,-96.75,270.0,bottom
J14,102.0,-114.0,0.0,bottom
J15,87.0,-52.0,0.0,bottom
J16,112.0,-52.0,0.0,bottom
J17,162.0,-52.0,0.0,bottom
J18,137.0,-52.0,0.0,bottom
J2,190.85,-54.7,270.0,bottom
J3,146.75,-93.25,180.0,bottom
J4,118.578427,-85.778427,0.0,bottom
J5,171.5,-115.0,0.0,bottom
J6,149.0,-96.5,0.0,top
J7,161.5,-115.0,0.0,bottom
J8,224.5,-52.5,180.0,top
J9,151.5,-115.0,0.0,bottom
L1,209.15,-55.25,90.0,top
R1,198.4,-52.5,270.0,top
R10,221.5,-60.5,180.0,top
R11,220.5,-63.0,270.0,top
R12,159.0,-111.0,0.0,top
R13,225.5,-62.5,180.0,top
R14,229.0,-62.5,180.0,top
R15,149.0,-111.05,0.0,top
R16,139.0,-111.1,0.0,top
R17,221.0,-106.5,0.0,top
R18,215.5,-106.5,180.0,top
R19,218.0,-83.0,180.0,top
R2,200.9,-51.5,0.0,top
R20,234.25,-70.5,0.0,top
R21,192.0,-113.5,0.0,top
R22,100.6625,-87.184999,180.0,top
R23,229.0,-87.5,0.0,top
R24,229.0,-97.5,0.0,top
R25,229.0,-107.5,0.0,top
R26,225.75,-111.0,270.0,top
R27,62.75,-85.5,180.0,top
R28,73.6625,-84.75,0.0,top
R29,62.75,-92.0,0.0,top
R3,200.9,-53.25,0.0,top
R30,73.6625,-94.75,0.0,top
R31,83.6625,-92.5,0.0,top
R32,229.0,-80.5,0.0,top
R33,229.0,-90.5,0.0,top
R34,229.0,-100.5,0.0,top
R35,229.0,-110.5,0.0,top
R36,73.75,-104.75,0.0,top
R37,198.5,-93.5,180.0,top
R38,109.75,-105.75,180.0,top
R39,120.25,-98.0,270.0,top
R4,144.25,-96.25,135.0,top
R40,186.5875,-81.5,0.0,top
R41,130.75,-105.25,45.0,top
R42,129.75,-103.25,45.0,top
R43,103.5,-71.0,90.0,top
R44,102.0,-71.0,90.0,top
R45,82.0,-68.0,90.0,top
R46,94.4125,-69.5,180.0,top
R47,103.5,-76.0,270.0,top
R48,94.4125,-72.5,0.0,top
R49,102.0,-76.0,270.0,top
R5,150.75,-85.0,270.0,top
R50,79.0,-68.0,90.0,top
R51,116.5,-76.0,270.0,top
R52,118.0,-76.0,270.0,top
R53,107.5,-65.0,90.0,top
R54,125.862501,-72.0,0.0,top
R55,116.5,-71.0,90.0,top
R56,125.862501,-69.0,180.0,top
R57,118.0,-71.0,90.0,top
R58,104.5,-65.0,90.0,top
R59,160.0,-71.5,270.0,top
R6,152.25,-85.0,90.0,top
R60,158.5,-71.5,270.0,top
R61,154.0,-61.0,180.0,top
R62,160.0,-75.5,90.0,top
R63,154.0,-64.0,0.0,top
R64,158.5,-75.5,90.0,top
R65,144.0,-75.5,90.0,top
R66,145.5,-75.5,90.0,top
R67,149.25,-64.0,0.0,top
R68,144.0,-71.5,270.0,top
R69,149.25,-61.0,180.0,top
R7,132.05,-81.25,270.0,top
R70,145.5,-71.5,270.0,top
R8,134.0,-81.25,270.0,top
R9,169.0,-111.0,0.0,top
RV1,222.0,-59.0,0.0,top
RV2,229.25,-59.0,180.0,top
RV3,225.75,-59.0,180.0,top
RV4,178.25,-67.365,90.0,top
SW1,218.0,-95.25,90.0,top
SW10,234.5,-113.5,90.0,top
SW11,73.5,-109.5,0.0,top
SW2,63.5,-79.5,270.0,top
SW3,73.5,-89.5,0.0,top
SW4,63.5,-99.5,90.0,top
SW5,73.5,-99.5,0.0,top
SW6,83.5,-99.5,90.0,top
SW7,234.5,-83.5,90.0,top
SW8,234.5,-93.5,90.0,top
SW9,234.5,-103.5,90.0,top
U1,209.5,-69.5,90.0,top
U2,197.0,-71.0,90.0,top
U3,110.0,-73.5,270.0,top
U4,152.0,-73.5,90.0,top
